Electricity,ID #
Bonneville Power Admin,1738
Bonneville Power Admin (Idaho),1738
Bonneville Power Admin (Montana),1738
Bonneville Power Admin (Washington),1738
Boone County Rural EMC,24753
Boone Electric Coop,2001
Boone Valley Electric Coop,1968
"Borough of Berlin, Pennsylvania (Utility Company)",1618
"Borough of Blakely, Pennsylvania (Utility Company)",1823
"Borough of Butler, New Jersey (Utility Company)",2650
"Borough of Catawissa, Pennsylvania (Utility Company)",3170
"Borough of Chambersburg, Pennsylvania (Utility Company)",3329
"Borough of Duncannon, Pennsylvania (Utility Company)",5442
"Borough of East Conemaugh, Pennsylvania (Utility Company)",5586
"Borough of Ellwood City, Pennsylvania (Utility Company)",5828
"Borough of Ephrata, Pennsylvania (Utility Company)",5935
"Borough of Girard, Pennsylvania (Utility Company)",7256
"Borough of Goldsboro, Pennsylvania (Utility Company)",7359
"Borough of Grove City, Pennsylvania (Utility Company)",7719
"Borough of Hatfield, Pennsylvania (Utility Company)",8254
"Borough of Kutztown, Pennsylvania (Utility Company)",10494
"Borough of Lansdale, Pennsylvania (Utility Company)",10702
"Borough of Lavallette, New Jersey (Utility Company)",10776
"Borough of Lehighton, Pennsylvania (Utility Company)",10882
"Borough of Lewisberry, Pennsylvania (Utility Company)",10959
"Borough of Madison, New Jersey (Utility Company)",11476
"Borough of Middletown, Pennsylvania (Utility Company)",12474
"Borough of Mifflinburg, Pennsylvania (Utility Company)",12523
"Borough of Milltown, New Jersey (Utility Company)",12608
"Borough of New Wilmington, Pennsylvania (Utility Company)",13489
"Borough of Olyphant, Pennsylvania (Utility Company)",14124
"Borough of Park Ridge, New Jersey (Utility Company)",14472
"Borough of Pemberton, New Jersey (Utility Company)",14648
"Borough of Perkasie, Pennsylvania (Utility Company)",14792
"Borough of Pitcairn, Pennsylvania (Utility Company)",15104
"Borough of Quakertown, Pennsylvania (Utility Company)",15541
"Borough of Royalton, Pennsylvania (Utility Company)",16375
"Borough of Schuylkill Haven, Pennsylvania (Utility Company)",16780
"Borough of Smethport, Pennsylvania (Utility Company)",17337
"Borough of South River, New Jersey (Utility Company)",17571
"Borough of St Clair, Pennsylvania (Utility Company)",16853
"Borough of Summerhill, Pennsylvania (Utility Company)",18284
"Borough of Tarentum, Pennsylvania (Utility Company)",18456
"Borough of Wampum, Pennsylvania (Utility Company)",20070
"Borough of Watsontown, Pennsylvania (Utility Company)",20206
"Borough of Weatherly, Pennsylvania (Utility Company)",20232
"Borough of Zelienople, Pennsylvania (Utility Company)",21160
"Bowie-Cass Electric Coop, Inc",2049
Bozrah Light & Power Company,2089
Brainerd Public Utilities,2138
Brazos Electric Power Coop Inc,2172
Brazos River Authority,2176
Bremen Electric Light & Power Co,2192
"Bridger Valley Elec Assn, Inc",2215
"Bridger Valley Elec Assn, Inc (Utah)",2215
Brigham City Corporation (Utility Company),2220
"Brilliant Energy, LLC",56255
Bristol Virginia Utilities,2248
"Broad River Electric Coop, Inc",2212
"Broad River Electric Coop, Inc (North Carolina)",2212
Brodhead Water & Lighting Comm,2273
Brown County Rural Elec Assn,2316
Brown-Atchison E C A Inc,2354
Brownsville Public Utilities Board,2409
Brunswick Electric Member Corp,24889
"Buckeye Power, Inc",7004
"Buckeye Rural Elec Coop, Inc",2502
Buckeye Water C&D District,2469
Burke-Divide Electric Coop Inc,2394
Burt County Public Power Dist,2599
Butler County Rural Elec Coop,2652
Butler Public Power District,2643
"Butler Rural El Coop Assn, Inc",2641
Butler Rural Electric Coop Inc,2651
"Butte Electric Coop, Inc",2655
C & L Electric Coop Corp,2678
