,county_name,state_id,Electricity
46,Allegany,MD,{'The Potomac Edison Company'}
47,Allegany,NY,"{'Village of Wellsville - (NY)', 'Rochester Gas & Electric Corp', 'Village of Angelica - (NY)', 'Niagara Mohawk Power Corp.', 'Village of Andover - (NY)', 'New York State Elec & Gas Corp'}"
48,Alleghany,NC,{'Blue Ridge Elec Member Corp - (NC)'}
49,Alleghany,VA,"{'Virginia Electric & Power Co', 'Craig-Botetourt Electric Coop', 'BARC Electric Coop Inc'}"
50,Allegheny,PA,"{'Borough of Pitcairn - (PA)', 'West Penn Power Company', 'Borough of Tarentum - (PA)', 'Duquesne Light Co', 'Central Electric Coop, Inc - (PA)', 'Pennsylvania Power Co'}"
51,Allen,IN,"{'Noble County R E M C', 'Indiana Michigan Power Co', 'Heartland REMC', 'Paulding-Putman Elec Coop, Inc', 'Northeastern Rural E M C'}"
52,Allen,KS,"{'City of Iola - (KS)', 'Kansas Gas & Electric Co', 'City of Savonburg - (KS)', 'Heartland Rural Elec Coop, Inc', 'City of Elsmore - (KS)', 'City of Moran - (KS)', 'City of La Harpe - (KS)'}"
53,Allen,KY,{'Tri-County Elec Member Corp'}
54,Allen,LA,"{'Cleco Power LLC', 'Jefferson Davis Elec Coop, Inc', 'Entergy Louisiana LLC', 'Beauregard Electric Coop, Inc'}"
55,Allen,OH,"{'Ohio Power Co', 'Midwest Electric, Inc', 'Hancock-Wood Electric Coop Inc', 'Paulding-Putman Elec Coop, Inc', 'Mid-Ohio Energy Coop, Inc'}"
56,Allendale,SC,"{'South Carolina Electric&Gas Company', 'Edisto Electric Coop, Inc', 'Palmetto Electric Coop Inc'}"
57,Alpena,MI,"{'Presque Isle Elec & Gas Coop', 'Alpena Power Co', 'Consumers Energy Co', 'Wolverine Power Supply Coop'}"
58,Alpine,CA,"{'Liberty Utilities', 'Pacific Gas & Electric Co'}"
59,Amador,CA,{'Pacific Gas & Electric Co'}
60,Amelia,VA,"{'Virginia Electric & Power Co', 'Southside Electric Coop, Inc'}"
61,Amherst,VA,"{'Appalachian Power Co', 'Central Virginia Electric Coop', 'Virginia Electric & Power Co'}"
62,Amite,MS,"{'Southwest Mississippi E P A', 'Magnolia Electric Power Assn', 'Entergy Mississippi Inc'}"
63,Anasco,PR,{'Puerto Rico Electric Pwr Authority'}
64,Anchorage,AK,"{'Chugach Electric Assn Inc', 'Anchorage Municipal Light and Power', 'Matanuska Electric Assn Inc'}"
65,Anderson,KS,"{'Lyon-Coffey Electric Coop, Inc', 'Kansas Gas & Electric Co', 'Heartland Rural Elec Coop, Inc', 'City of Garnett - (KS)', 'Kansas City Power & Light Co'}"
66,Anderson,KY,"{'Shelby Energy Co-op, Inc', 'Kentucky Utilities Co', 'East Kentucky Power Coop, Inc', 'Blue Grass Energy Coop Corp', 'Salt River Electric Coop Corp'}"
67,Anderson,SC,"{'Laurens Electric Coop, Inc', 'Blue Ridge Electric Coop Inc - (SC)', 'Duke Energy Carolinas, LLC', 'Little River Electric Coop Inc'}"
68,Anderson,TN,"{'City of Oak Ridge', 'City of Clinton - (TN)', 'Knoxville Utilities Board'}"
69,Anderson,TX,"{'Trinity Valley Elec Coop Inc', 'Houston County Elec Coop Inc', 'Oncor Electric Delivery Company LLC'}"
70,Andrew,MO,"{'KCP&L Greater Missouri Operations Co.', 'United Electric Coop, Inc - (MO)'}"
71,Andrews,TX,"{'Lyntegar Electric Coop, Inc', 'Sharyland Utilities LP', 'Southwestern Public Service Co', 'Oncor Electric Delivery Company LLC'}"
72,Androscoggin,ME,{'Central Maine Power Co'}
73,Angelina,TX,"{'Jasper-Newton Elec Coop, Inc', 'Sam Houston Electric Coop Inc', 'Houston County Elec Coop Inc', 'Oncor Electric Delivery Company LLC'}"
74,Anne Arundel,MD,{'Baltimore Gas & Electric Co'}
75,Anoka,MN,"{'Connexus Energy', 'Northern States Power Co - Minnesota', 'City of Anoka'}"
76,Anson,NC,"{'Duke Energy Carolinas, LLC', 'Pee Dee Electric Member Corp', 'Duke Energy Progress - (NC)'}"
77,Antelope,NE,"{'North Central Public Pwr Dist', 'WAPA-- Western Area Power Administration', 'Nebraska Public Power District', 'City of Neligh - (NE)', 'Elkhorn Rural Public Pwr Dist'}"
78,Antrim,MI,"{'Wolverine Power Supply Coop', 'Consumers Energy Co', 'Great Lakes Energy Coop'}"
79,Apache,AZ,"{'Navopache Electric Coop, Inc', 'WAPA-- Western Area Power Administration', 'Navajo Tribal Utility Authority', 'Arizona Public Service Co'}"
80,Appanoose,IA,"{'Southern Iowa Elec Coop, Inc', 'Chariton Valley Elec Coop, Inc', 'Interstate Power and Light Co'}"
81,Appling,GA,"{'Satilla Rural Elec Member Corporation', 'Georgia Power Co'}"
82,Appomattox,VA,"{'Appalachian Power Co', 'Central Virginia Electric Coop', 'Southside Electric Coop, Inc', 'Virginia Electric & Power Co'}"
83,Aransas,TX,"{'San Patricio Electric Coop Inc', 'AEP Texas Central Company'}"
84,Arapahoe,CO,"{'Public Service Co of Colorado', 'Intermountain Rural Elec Assn', 'Morgan County Rural Elec Assn', 'Mountain View Elec Assn, Inc'}"
85,Archer,TX,"{'Texas-New Mexico Power Co', 'Tri-County Electric Coop, Inc', 'AEP Texas North Company', 'J-A-C Electric Coop Inc', 'Oncor Electric Delivery Company LLC', 'Fort Belknap Electric Coop Inc', 'Southwest Rural Elec Assn Inc'}"
86,Archuleta,CO,"{'La Plata Electric Assn, Inc', 'Public Service Co of Colorado'}"
87,Arecibo,PR,{'Puerto Rico Electric Pwr Authority'}
88,Arenac,MI,{'Consumers Energy Co'}
89,Arkansas,AR,"{'C & L Electric Coop Corp', 'First Electric Coop Corp', 'Entergy Arkansas Inc'}"
90,Arlington,VA,{'Virginia Electric & Power Co'}
91,Armstrong,PA,"{'West Penn Power Company', 'Pennsylvania Electric Co', 'Central Electric Coop, Inc - (PA)', 'REA Energy Coop Inc', 'United Electric Coop, Inc - (PA)'}"
92,Armstrong,TX,"{'Swisher Electric Coop, Inc', 'Greenbelt Electric Coop, Inc', 'Southwestern Public Service Co'}"
93,Aroostook,ME,"{'Van Buren Light & Power Dist', 'Eastern Maine Electric Coop', 'Emera Maine', 'Houlton Water Company'}"
94,Arroyo,PR,{'Puerto Rico Electric Pwr Authority'}
95,Arthur,NE,"{'Panhandle Rural El Member Assn', 'Wheat Belt Public Power Dist'}"
96,Ascension,LA,"{'Entergy Louisiana LLC', 'Dixie Electric Membership Corp'}"
